N° BCE,Organisation publique,Catégorie,Nom du bâtiment,Adresse,Indice d’émission de CO2 [kg éq CO2/(m².an)],Niveau de performance énergétique [kWhEP/(m².an)],Classe
0236.916.956,Bruxelles Environnement,"13 - Ateliers, centres funéraires, dépôts, ...","Schrijnwerkerij, verf en sanitair","Avenue du Parc de Woluwe 68, 1160 Auderghem",45.42,232.76,D+
0207.365.610,Administration communale d'Etterbeek,11 - Théatres et centres culturels,Senghor Centre culturel,"Chaussée de Wavre 366, 1040 Etterbeek",44.16,252.47,D+
0207.389.859,Commune de Woluwe-Saint-Lambert,"13 - Ateliers, centres funéraires, dépôts, ...",Serres Communales,"Avenue de Toutes les Couleurs 9, 1200 Woluwe-Saint-Lambert",32.05,181.69,C
0207.389.859,Commune de Woluwe-Saint-Lambert,1 - Services administratifs,Serres Communales (Bureaux et vestiaires),"Avenue de Toutes les Couleurs 9, 1200 Woluwe-Saint-Lambert",27.07,154.15,B-
0207.389.859,Commune de Woluwe-Saint-Lambert,1 - Services administratifs,Service prévention - Tomberg 188,"Tomberg 188, 1200 Woluwe-Saint-Lambert",39.85,236.70,C
0207.389.859,Commune de Woluwe-Saint-Lambert,1 - Services administratifs,Services juridique et des propriétés communales,"Tomberg 184, 1200 Woluwe-Saint-Lambert",43.68,254.62,C
0222.869.673,Sibelga,1 - Services administratifs,Sibelga,"Quai des Usines 16, 1000 Bruxelles",42.39,254.37,C
0549.927.147,SILVA MEDICAL,"8 - Maisons de repos, maisons de revalidation et de soins et services similaires, établissements pénitentiaires",SILVA medical,"Rue Ferdinand Elbers 24, 1080 Molenbeek-Saint-Jean",72.15,429.67,D-
0478.379.452,SINT-GOEDELE BRUSSEL,3 - Enseignement du jour OU du soir,Sint-Guido-Instituut,"Place de Sainte-Adresse 12, 1070 Anderlecht",17.07,99.81,B-
0478.379.452,SINT-GOEDELE BRUSSEL,3 - Enseignement du jour OU du soir,Sint-Guido-Instituut,"Avenue d'Itterbeek 550, 1070 Anderlecht",30.75,150.27,C-
0478.379.452,SINT-GOEDELE BRUSSEL,3 - Enseignement du jour OU du soir,Sint-Jozefscollege & VBS Sint-Jozefscollege,"Boulevard de la Woluwe 18, 1150 Woluwe-Saint-Pierre",26.46,150.65,C-
0478.379.452,SINT-GOEDELE BRUSSEL,3 - Enseignement du jour OU du soir,Sint-Pieterscollege & VBS Sint-Pieterscollege,"Rue Léon Theodor 167, 1090 Jette",27.19,154.65,C-
